year,B_rec,B_se_rec,B_Adult,B_se_Adult,W_18,W_21,W_25
1970,8.891058717,4.556768914,27.80419684,8.005093366,86.0340233,159.1091208,239.1256834
1971,7.791728774,5.406499686,32.43859178,15.14685896,85.65075157,152.7840735,234.320776
1972,4.52943843,2.764763785,69.31453825,36.34041873,99.22068956,152.9733779,245.3568761
1973,1.476046669,0.904451431,60.92628115,41.72447133,95.54497379,144.0502808,242.5468911
1974,3.090479064,2.069103764,14.12561004,3.016390709,104.0672035,127.0379047,230.055297
1975,0.392640942,0.141206805,81.80137845,61.63532152,96.64006693,133.5793807,254.9469504
1976,1.418006171,1.367165831,12.47961483,5.474794391,115.0904632,174.3869697,250.0527599
1977,0.718229038,0.38502325,46.02780355,22.65767651,100,170.6034014,257.5004977
1978,0.187268825,0.050702444,79.23941708,61.43807741,76.00344796,138.7178885,244.873614
1979,0.299944145,0.081160273,12.62093649,5.339589826,100.5131959,128.8408308,293.0771267
1980,0.3188034,0.248874932,7.100195614,4.854317734,78.24173994,146.4594749,240.4472464
1981,0.326384949,0.183846403,15.32514462,8.785695057,100,192.8332005,248.8735928
1982,0.917514644,0.753100108,25.85376351,15.33816192,99.19021622,173.2706701,300.1402724
1983,0.360144955,0.123196021,44.81471737,35.57281611,92.34651107,169.5075874,261.954624
1984,1.470564436,0.738919435,37.68792928,12.92502578,94.3342734,163.3502735,263.9503681
1985,0.63390508,0.196435369,5.671551728,2.333355109,79.62442934,144.2169164,247.6798144
1986,1.474841282,0.725172033,32.83139119,13.5351061,69.47010252,114.7029981,278.4214324
1987,0.487541153,0.14179416,22.75069898,15.83484721,83.25823229,149.2842183,259.0808873
1988,0.720256205,0.242743201,30.01091987,10.11001173,109.1607689,140.3790823,249.6470078
1989,0.762918773,0.132571507,9.501602862,1.956826925,88.58163475,157.3445339,250.0502787
1990,1.986126889,0.826331762,20.82817466,8.197833028,97.19542209,184.1864689,266.42872
1991,1.003958101,0.326982533,8.220507306,2.99279306,NA,NA,NA
1992,0.399565155,0.130907369,42.34109573,27.3348008,NA,NA,260.5690284
1993,0.79178712,0.219730003,24.99494725,15.45609311,NA,NA,NA
1994,1.533625611,0.514901133,17.20603119,8.330036491,NA,NA,NA
1995,1.824962527,0.893358491,14.92682362,11.74131382,97.2548179,157.0300133,261.7615785
1996,2.403777119,1.17214406,15.98802419,8.07194354,84.75847132,140.7699858,253.0104403
1997,13.1568626,11.00592534,31.14277211,13.57681402,107.9552404,162.9239518,256.0031059
1998,1.976761694,1.469083793,7.086390751,4.51470579,97.35563987,147.71608,213.0004999
1999,3.804592729,1.988726228,26.90287908,7.891969597,103.5076699,148.621281,248.3722504
2000,3.836033188,2.119459211,20.63632989,11.33715611,85.66621732,145.2518104,244.1666058
2001,0.833593474,0.307185435,39.48006003,25.58420485,85.61632298,148.477411,280.2513321
2002,0.88130896,0.369354048,12.29838603,5.355431466,92.1442423,143.9761944,234.0209591
2003,3.131347234,1.434006313,19.3650647,7.378470024,91.8272425,148.7992715,245.7299959
2004,1.389037761,0.474328012,14.24280938,4.993408334,90.30336114,142.7918175,258.9655078
2005,2.337020588,0.802341701,43.95886859,18.91577141,91.86877425,128.956465,216.11548
2006,11.81820143,4.843908894,41.2600492,19.5458488,79.38283361,144.8352297,263.629046
2007,11.07850211,6.25320629,15.22590258,4.663660456,86.65645368,128.3675698,252.2021863
2008,34.18581331,16.43978841,68.15459548,32.09305074,90.09045193,136.4991569,248.3813467
2009,52.92270747,17.02512666,72.06432911,18.05558218,95.33411607,145.3179134,246.5325485
2010,4.704051959,1.646616335,26.55396879,7.190066954,81.04920003,129.2478649,234.5607165
2011,14.60721725,7.357746882,63.7826591,24.04031845,91.34769516,130.7051196,216.9971838
2012,18.44453207,7.596199657,61.06423266,21.23808371,89.20368035,136.9242564,241.8794006
2013,5.397944627,1.29708676,24.86879193,4.544155635,95.59948497,147.0475064,265.8595955
2014,4.253255505,1.453405967,24.10887435,9.017515582,95.18451343,143.4142207,263.0179817
2015,6.080841036,1.594586661,58.85566179,20.84190893,87.61527127,150.1783662,251.5992161
2016,25.77179441,17.97044818,102.8575106,48.58466326,97.94874037,131.3791837,224.7582574
